id,type,unit_id,title,release_date,now_available,coding,resources,files,overview,section_overview,doi,total_time,playlist,section_id,section_title,section_img,section_time,cc,google_community
1,U,1,Course Introduction,Available Now,True,,,,"<p>Geoffrey gives a short introduction to the course covering it's content and structure. He presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics (or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons.</p><p>The course covers a mix of applications (the X in X-Informatics) and technologies needed to support the field electronically i.e. to process the application data. The introduction ends with a discussion of course content at highest level.</p><p>The course starts with a longish Motivation unit summarizing clouds and data science, then units describing applications (X = Physics, e-Commerce, Web Search and Text mining, Health, Sensors and Remote Sensing). These are interspersed with discussions of infrastructure (clouds) and data analytics (algorithms like clustering and collaborative filtering used in applications)</p><p>The course uses either Python or Java and there are Side MOOCs discussing Python and Java tracks.</p>","<p>This section has a technical overview of course followed by a broad motivation for course.</p><p>The course overview covers it's content and structure. It presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics ( or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons. The course covers a mix of applications (the X in X-Informatics) and technologies needed to support the field electronically i.e. to process the application data. The overview ends with a discussion of course content at highest level. The course starts with a longish Motivation unit summarizing clouds and data science, then units describing applications (X = Physics, e-Commerce, Web Search and Text mining, Health, Sensors and Remote Sensing). These are interspersed with discussions of infrastructure (clouds) and data analytics (algorithms like clustering and collaborative filtering used in applications). The course uses either Python or Java and there are Side MOOCs discussing Python and Java tracks.</p><p>The course motivation starts with striking examples of the data deluge with examples from research, business and the consumer. The growing number of jobs in data science is highlighted. He describes industry trend in both clouds and big data. Then the cloud computing model developed at amazing speed by industry is introduced. The 4 paradigms of scientific research are described with growing importance of data oriented version.He covers 3 major X-informatics areas: Physics, e-Commerce and Web Search followed by a broad discussion of cloud applications. Parallel computing in general and particular features of MapReduce are described. He comments on a data science education and the benefits of using MOOC's.</p>",XIBD1_Intro_1v1,48min,PLy0VLh_GFyz-nLTDNMGMNbsZAkr0-ZemP,1,Introduction,Introduction.jpg,2h 48min,,5f3d6fc0-b89a-4d27-815c-51f68dea321e
2,U,2,Course Motivation: Big Data and Clouds,Available Now,True,,"<ul><li><a href='http://www.gartner.com/technology/home.jsp' target='_blank'>http://www.gartner.com/technology/home.jsp</a> and many web links</li><li>Meeker/Wu May 29 2013 Internet Trends D11 Conference <a href='http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013' target='_blank'>http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Taming The Big Data Tidal Wave: Finding Opportunities in Huge Data Streams with Advanced Analytics, Bill Franks Wiley ISBN: 978-1-118-20878-6</li><li>Bill Ruh <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.genome.gov/sequencingcosts/' target='_blank'>http://www.genome.gov/sequencingcosts/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li><a href='http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx' target='_blank'>http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://research.microsoft.com/pubs/78813/AJ18_EN.pdf' target='_blank'>http://research.microsoft.com/pubs/78813/AJ18_EN.pdf</a></li><li><a href='http://www.google.com/green/pdfs/google-green-computing.pdf' target='_blank'>http://www.google.com/green/pdfs/google-green-computing.pdf</a></li><li><a href='http://www.wired.com/wired/issue/16-07' target='_blank'>http://www.wired.com/wired/issue/16-07</a></li><li><a href='http://research.microsoft.com/en-us/collaboration/fourthparadigm/' target='_blank'>http://research.microsoft.com/en-us/collaboration/fourthparadigm/</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://www.interactions.org/cms/?pid=1032811' target='_blank'>http://www.interactions.org/cms/?pid=1032811</a></li><li><a href='http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg/' target='_blank'>http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg/</a></li><li><a href='http://www.sciencedirect.com/science/article/pii/S037026931200857X' target='_blank'>http://www.sciencedirect.com/science/article/pii/S037026931200857X</a></li><li><a href='http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial' target='_blank'>http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial</a></li><li><a href='http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf' target='_blank'>http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf</a></li><li><a href='http://en.wikipedia.org/wiki/PageRank' target='_blank'>http://en.wikipedia.org/wiki/PageRank</a></li><li><a href='http://pages.cs.wisc.edu/~beechung/icml11-tutorial/' target='_blank'>http://pages.cs.wisc.edu/~beechung/icml11-tutorial/</a></li><li><a href='https://sites.google.com/site/opensourceiotcloud/' target='_blank'>https://sites.google.com/site/opensourceiotcloud/</a></li><li><a href='http://datascience101.wordpress.com/2013/04/13/new-york-times-data-science-articles/' target='_blank'>http://datascience101.wordpress.com/2013/04/13/new-york-times-data-science-articles/</a></li><li><a href='http://blog.coursera.org/post/49750392396/on-the-topic-of-boredom' target='_blank'>http://blog.coursera.org/post/49750392396/on-the-topic-of-boredom</a></li><li><a href='http://x-informatics.appspot.com/course' target='_blank'>http://x-informatics.appspot.com/course</a></li><li><a href='http://iucloudsummerschool.appspot.com/preview' target='_blank'>http://iucloudsummerschool.appspot.com/preview</a></li><li><a href='https://www.youtube.com/watch?v=M3jcSCA9_hM' target='_blank'>https://www.youtube.com/watch?v=M3jcSCA9_hM</a></li></ul>",,"<p>Geoffrey motivates the study of X-informatics by describing data science and clouds. He starts with striking examples of the data deluge with examples from research, business and the consumer. The growing number of jobs in data science is highlighted. He describes industry trend in both clouds and big data.</p><p>He introduces the cloud computing model developed at amazing speed by industry. The 4 paradigms of scientific research are described with growing importance of data oriented version. He covers 3 major X-informatics areas: Physics, e-Commerce and Web Search followed by a broad discussion of cloud applications. Parallel computing in general and particular features of MapReduce are described. He comments on a data science education and the benefits of using MOOC's.</p>",,XIBD1_Motiv_1v1,2h,PLy0VLh_GFyz8rlInxHNrireK3oFO4Kurc,1,Introduction,,,,5f3d6fc0-b89a-4d27-815c-51f68dea321e
3,U,3,Part I: Data Science generics and Commercial Data Deluge,Available Now,True,,<ul><li><a href='http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx' target='_blank'>http://www.microsoft.com/en-us/news/features/2012/mar12/03-05CloudComputingJobs.aspx</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Anjul Bhambhri <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://www.economist.com/node/15579717' target='_blank'>http://www.economist.com/node/15579717</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li><a href='http://jess3.com/geosocial-universe-2/' target='_blank'>http://jess3.com/geosocial-universe-2/</a></li><li>Bill Ruh<a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.hsph.harvard.edu/ncb2011/files/ncb2011-z03-rodriguez.pptx' target='_blank'>http://www.hsph.harvard.edu/ncb2011/files/ncb2011-z03-rodriguez.pptx</a></li><li>Hugh Williams <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li></ul>,,<p>Geoffrey starts with X-Informatics and its rallying cry. The growing number of jobs in data science is highlighted. This unit offers a look at the phenomenon described as the Data Deluge starting with its broad features. Then he discusses data science and the famous DIKW (Data to Information to Knowledge to Wisdom) pipeline. Then more detail is given on the flood of data from Internet and Industry applications with eBay and General Electric discussed in most detail.</p>,"<p>The course introduction starts with X-Informatics and its rallying cry. The growing number of jobs in data science is highlighted. The first unit offers a look at the phenomenon described as the Data Deluge starting with its broad features. Data science and the famous DIKW (Data to Information to Knowledge to Wisdom) pipeline are covered. Then more detail is given on the flood of data from Internet and Industry applications with eBay and General Electric discussed in most detail.</p><p>In the next unit, Geoffrey continues the discussion of the data deluge with a focus on scientific research. He takes a first peek at data from the Large Hadron Collider considered later as physics Informatics and gives some biology examples. He discusses the implication of data for the scientific method which is changing with the data-intensive methodology joining observation, theory and simulation as basic methods. Two broad classes of data are the long tail of sciences: many users with individually modest data adding up to a lot; and a myriad of Internet connected devices -- the Internet of Things.</p><p>Geoffrey gives an initial technical overview of cloud computing as pioneered by companies like Amazon, Google and Microsoft with new centers holding up to a million servers. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing with a comparison to supercomputing. Features of the data deluge are discussed with a salutary example where more data did better than more thought. Examples are given of end to end systems to process big data. Then comes Data science and one part of it -- data analytics -- the large algorithms that crunch the big data to give big wisdom. There are many ways to describe data science and several are discussed to give a good composite picture of this emerging field.</p>",XIBD1_Over_1v1,56min,PLy0VLh_GFyz9BAxZZARXuHdS-QqDp7L8O,2,"Overview of Data Science: What is Big Data, Data Analytics and X-Informatics?",DataCenter.jpg,2h 32min,,c3a79772-5477-4e90-8d0d-177499c9c09a
4,U,4,Part II: Data Deluge and Scientific Applications and Methodology,Available Now,True,,"<ul><li><a href='http://www.economist.com/node/15579717' target='_blank'>http://www.economist.com/node/15579717</a></li><li>Geoffrey Fox and Dennis Gannon Using Clouds for Technical Computing To be published in Proceedings of HPC 2012 Conference at Cetraro, Italy June 28 2012 <a href='http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://www.genome.gov/sequencingcosts/' target='_blank'>http://www.genome.gov/sequencingcosts/</a></li><li><a href='http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg' target='_blank'>http://www.quantumdiaries.org/2012/09/07/why-particle-detectors-need-a-trigger/atlasmgg</a></li><li><a href='http://salsahpc.indiana.edu/dlib/articles/00001935/' target='_blank'>http://salsahpc.indiana.edu/dlib/articles/00001935/</a></li><li><a href='http://en.wikipedia.org/wiki/Simple_linear_regression' target='_blank'>http://en.wikipedia.org/wiki/Simple_linear_regression</a></li><li><a href='http://www.ebi.ac.uk/Information/Brochures/' target='_blank'>http://www.ebi.ac.uk/Information/Brochures/</a></li><li><a href='http://www.wired.com/wired/issue/16-07' target='_blank'>http://www.wired.com/wired/issue/16-07</a></li><li><a href='http://research.microsoft.com/en-us/collaboration/fourthparadigm/' target='_blank'>http://research.microsoft.com/en-us/collaboration/fourthparadigm/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li><a href='https://sites.google.com/site/opensourceiotcloud/' target='_blank'>https://sites.google.com/site/opensourceiotcloud/</a></li></ul>",,"<p>Geoffrey continues the discussion of the data deluge with a focus on scientific research. He takes a first peek at data from the Large Hadron Collider considered later as physics Informatics and gives some biology examples. He discusses the implication of data for the scientific method which is changing with the data-intensive methodology joining observation, theory and simulation as basic methods.</p><p>We discuss the long tail of sciences; many users with individually modest data adding up to a lot. The last lesson emphasizes how everyday devices -- the Internet of Things -- are being used to create a wealth of data.</p>",,XIBD1_Over_2v1,36min,PLy0VLh_GFyz_4ZD9m7LewhD2PW8iy1gir,2,"Overview of Data Science: What is Big Data, Data Analytics and X-Informatics?",,,,c3a79772-5477-4e90-8d0d-177499c9c09a
5,U,5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,Available Now,True,,"<ul><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski<a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/' target='_blank'>http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/</a></li><li><a href='http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/' target='_blank'>http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/</a></li><li><a href='http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf' target='_blank'>http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf</a></li><li>Bina Ramamurthy <a href='http://www.cse.buffalo.edu/~bina/cse487/fall2011/' target='_blank'>http://www.cse.buffalo.edu/~bina/cse487/fall2011/</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf</a></li><li>Anjul Bhambhri <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Hugh Williams <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li>Tom Davenport <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://www.mckinsey.com/mgi/publications/big_data/index.asp' target='_blank'>http://www.mckinsey.com/mgi/publications/big_data/index.asp</a></li><li><a href='http://cra.org/ccc/docs/nitrdsymposium/pdfs/keyes.pdf' target='_blank'>http://cra.org/ccc/docs/nitrdsymposium/pdfs/keyes.pdf</a></li></ul>",,"<p>Geoffrey gives an initial technical overview of cloud computing as pioneered by companies like Amazon, Google and Microsoft with new centers holding up to a million servers. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing with a comparison to supercomputing.</p><p>He discusses features of the data deluge with a salutary example where more data did better than more thought. Examples are given of end to end systems to process big data. He introduces data science and one part of it -- data analytics -- the large algorithms that crunch the big data to give big wisdom. There are many ways to describe data science and several are discussed to give a good composite picture of this emerging field.</p>",,XIBD1_Over_3v1,1h,PLy0VLh_GFyz8ckoF1P6GiyuMDwZQQGrI9,2,"Overview of Data Science: What is Big Data, Data Analytics and X-Informatics?",,,,c3a79772-5477-4e90-8d0d-177499c9c09a
6,A,Peer_review_Homework_2.1,Section 2 Homework 1,,True,,,,,,,,,2,Peer Reviewed Homework,,,,
7,A,Peer_review_Homework_2.2,Section 2 Homework 2,,True,,,,,,,,,2,Peer Reviewed Homework,,,,
8,A,Peer_review_Homework_2.3,Section 2 Homework 3,,True,,,,,,,,,2,Peer Reviewed Homework,,,,
9,U,6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",Available Now,True,,<ul><li>Python for data analysis(book): <a href='http://shop.oreilly.com/product/0636920023784.do' target='_blank'>http://shop.oreilly.com/product/0636920023784.do</a></li><li>Enthought docs page: <a href='http://docs.enthought.com/canopy/configure/faq.html' target='_blank'>http://docs.enthought.com/canopy/configure/faq.html</a></li><li>Canopy download: <a href='https://www.enthought.com/store/' target='_blank'>https://www.enthought.com/store/</a></li><li>Tips tricks for canopy: <a href='http://docs.enthought.com/canopy/configure/faq.html' target='_blank'>http://docs.enthought.com/canopy/configure/faq.html</a></li><li>NumPy download: <a href='https://pypi.python.org/pypi/numpy' target='_blank'>https://pypi.python.org/pypi/numpy</a></li><li>NumPy Reference guide: <a href='http://docs.scipy.org/doc/numpy/reference/' target='_blank'>http://docs.scipy.org/doc/numpy/reference/</a></li><li>Numpy Functions by Category documentation: <a href='http://wiki.scipy.org/Numpy_Functions_by_Category' target='_blank'>http://wiki.scipy.org/Numpy_Functions_by_Category</a></li><li>Numpy list of data types(dtypes) documentation: <a href='http://docs.scipy.org/doc/numpy/user/basics.types.html' target='_blank'>http://docs.scipy.org/doc/numpy/user/basics.types.html</a></li><li>Numpy developer guide: <a href='http://docs.scipy.org/doc/numpy-dev/dev/' target='_blank'>http://docs.scipy.org/doc/numpy-dev/dev/</a></li><li>Numpy Universal Functions documentation: <a href='http://docs.scipy.org/doc/numpy/reference/ufuncs.html' target='_blank'>http://docs.scipy.org/doc/numpy/reference/ufuncs.html</a></li><li>Numpy Array Statistics documentation: <a href='http://docs.scipy.org/doc/numpy/reference/routines.statistics.html' target='_blank'>http://docs.scipy.org/doc/numpy/reference/routines.statistics.html</a></li><li>Numpy Linear Algebra documentation: <a href='http://docs.scipy.org/doc/numpy/reference/routines.linalg.html' target='_blank'>http://docs.scipy.org/doc/numpy/reference/routines.linalg.html</a></li><li>Numpy Random number generation documentation: <a href='http://docs.scipy.org/doc/numpy/reference/routines.random.html' target='_blank'>http://docs.scipy.org/doc/numpy/reference/routines.random.html</a></li><li>Matplotlib download: <a href='http://matplotlib.org/downloads.html' target='_blank'>http://matplotlib.org/downloads.html</a></li><li>Matplotlib pyplot documentation: <a href='http://matplotlib.org/api/pyplot_api.html' target='_blank'>http://matplotlib.org/api/pyplot_api.html</a></li><li>Scipy reference guide: <a href='http://docs.scipy.org/doc/scipy/reference/' target='_blank'>http://docs.scipy.org/doc/scipy/reference/</a></li><li>Scipy developer guide: <a href='http://docs.scipy.org/doc/scipy-dev/reference/hacking.html' target='_blank'>http://docs.scipy.org/doc/scipy-dev/reference/hacking.html</a></li><li>Numpy and Scipy cook book: <a href='http://wiki.scipy.org/Cookbook' target='_blank'>http://wiki.scipy.org/Cookbook</a></li></ul>,,<p>This section is meant to give an overview of the python tools needed for doing for this course. These are really powerful tools which every data scientist who wishes to use python must know.</p>,"<p>This section is meant to give an overview of the python tools needed for doing for this course. These are really powerful tools which every data scientist who wishes to use python must know. This section covers. Canopy - Its is an IDE for python developed by EnThoughts. The aim of this IDE is to bring the various python libraries under one single framework or ''Canopy'' - that is why the name. NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community. Matplotlib: This a data visualization package. It allows you to create graphs charts and other such diagrams. It supports Images in JPEG, GIF, TIFF format. SciPy: SciPy is a library built above numpy and has a number of off the shelf algorithms / operations implemented. These include algorithms from calculus(like integration), statistics, linear algebra, image-processing, signal processing, machine learning, etc.</p>",XIBD1_Python_1v1,1h 21min,PLy0VLh_GFyz_p4yC1UEKxjMnjzsE3yoLq,3,Technology Training,python.jpg,1h 21min,,99ade3e1-b13d-4157-8f36-8acd112bdb4e
10,U,7,"I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",Available Now,True,,<ul><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://www.interactions.org/cms/?pid=6002' target='_blank'>http://www.interactions.org/cms/?pid=6002</a></li><li><a href='http://www.interactions.org/cms/?pid=1032811' target='_blank'>http://www.interactions.org/cms/?pid=1032811</a></li><li><a href='http://www.sciencedirect.com/science/article/pii/S037026931200857X' target='_blank'>http://www.sciencedirect.com/science/article/pii/S037026931200857X</a></li><li><a href='http://biologos.org/blog/what-is-the-higgs-boson' target='_blank'>http://biologos.org/blog/what-is-the-higgs-boson</a></li></ul>,,"<p>In this short unit Geoffrey describes the LHC accelerator at CERN and evidence found by the experiments ATLAS suggesting existence of a Higgs Boson. The huge number of authors on a paper, remarks on histograms and Feynman diagrams is followed by an accelerator picture gallery.</p>","<p>This section starts by describing the LHC accelerator at CERN and evidence found by the experiments suggesting existence of a Higgs Boson. The huge number of authors on a paper, remarks on histograms and Feynman diagrams is followed by an accelerator picture gallery. The next unit is devoted to Python experiments looking at histograms of Higgs Boson production with various forms of shape of signal and various background and with various event totals. Then random variables and some simple principles of statistics are introduced with explanation as to why they are relevant to Physics counting experiments. The unit introduces Gaussian (normal) distributions and explains why they seen so often in natural phenomena. Several Python illustrations are given. Random Numbers with their Generators and Seeds lead to a discussion of Binomial and Poisson Distribution. Monte-Carlo and accept-reject methods. The Central Limit Theorem concludes discussion.</p>",XIBD1_Phys_1v1,29min,PLy0VLh_GFyz-9YRz7yWvFHhOqtxvQ2jiF,4,X= Physics Case Study,LHC.jpg,2h 13min,,0303dcef-00a5-4976-8441-575d28957d2f
11,U,8,II: Looking for Higgs Particles: Python Event Counting for Signal and Background(Python Track),Available Now,True,Python,"<ul><li><a href='http://www.enthought.com/products/epdgetstart.php' target='_blank'>http://www.enthought.com/products/epdgetstart.php</a></li><li>Python for Data Analysis: Agile Tools for Real World Data By Wes McKinney, Publisher: O'Reilly Media, Released: October 2012, Pages: 472</li></ul>",<ul><li><a href=/assets/files/unit_8/HiggsClassI-Sloping.py target=_blank>HiggsClassI-Sloping.py</a></li></ul>,<p>This unit is devoted to Python experiments with Geoffrey looking at histograms of Higgs Boson production with various forms of shape of signal and various background and with various event totals</p>,,XIBD1_Phys_2v1,25min,PLy0VLh_GFyz8oTMmgSG8u9l_Pm9lSdKlR,4,X= Physics Case Study,,,,0303dcef-00a5-4976-8441-575d28957d2f
12,U,9,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions(Python Track)",Available Now,True,Python,<ul><li><a href='http://indico.cern.ch/contributionDisplay.py?contribId=15&sessionId=6&materialId=slides&confId=20453' target='_blank'>http://indico.cern.ch/contributionDisplay.py?contribId=15&sessionId=6&materialId=slides&confId=20453</a></li><li><a href='http://www.atlas.ch/photos/events.html' target='_blank'>http://www.atlas.ch/photos/events.html</a></li><li><a href='http://cms.web.cern.ch/' target='_blank'>http://cms.web.cern.ch/</a></li></ul>,<ul><li><a href=/assets/files/unit_9/HiggsClassIII.py target=_blank>HiggsClassIII.py</a></li></ul>,<p>Geoffrey introduces random variables and some simple principles of statistics and explains why they are relevant to Physics counting experiments. The unit introduces Gaussian (normal) distributions and explains why they seen so often in natural phenomena. Several Python illustrations are given.</p>,,XIBD1_Phys_3v1,38min,PLy0VLh_GFyz-ifZCmJi458Uw_AL2htU8v,4,X= Physics Case Study,,,,0303dcef-00a5-4976-8441-575d28957d2f
13,U,10,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem(Python Track)",Available Now,True,Python,<ul><li><a href='http://en.wikipedia.org/wiki/Pseudorandom_number_generator' target='_blank'>http://en.wikipedia.org/wiki/Pseudorandom_number_generator</a></li><li><a href='http://en.wikipedia.org/wiki/Mersenne_twister' target='_blank'>http://en.wikipedia.org/wiki/Mersenne_twister</a></li><li><a href='http://en.wikipedia.org/wiki/Mersenne_prime' target='_blank'>http://en.wikipedia.org/wiki/Mersenne_prime</a></li><li>CMS-PAS-HIG-12-041 Updated results on the new boson discovered in the search for the standard model Higgs boson in the ZZ to 4 leptons channel in pp collisions at sqrt(s) = 7 and 8 TeV <a href='http://cds.cern.ch/record/1494488?ln=en' target='_blank'>http://cds.cern.ch/record/1494488?ln=en</a></li><li><a href='http://en.wikipedia.org/wiki/Poisson_distribution' target='_blank'>http://en.wikipedia.org/wiki/Poisson_distribution</a></li><li><a href='http://en.wikipedia.org/wiki/Central_limit_theorem' target='_blank'>http://en.wikipedia.org/wiki/Central_limit_theorem</a></li></ul>,<ul><li><a href=/assets/files/unit_10/HiggsClassIV-seeds.py target=_blank>HiggsClassIV-seeds.py</a></li></ul>,<p>Geoffrey discusses Random Numbers with their Generators and Seeds. It introduces Binomial and Poisson Distribution. Monte-Carlo and accept-reject methods are discussed. The Central Limit Theorem concludes discussion. Python examples and Physics applications are given.</p>,,XIBD1_Phys_4v1,41min,PLy0VLh_GFyz-CroeyFxBhICuH7Gux6zHj,4,X= Physics Case Study,,,,0303dcef-00a5-4976-8441-575d28957d2f
14,A,Peer_review_Homework_4.1,Section 4 Homework 1,,True,,,,,,,,,4,Peer Reviewed Homework,,,,
15,A,Peer_review_Homework_4.2,Section 4 Homework 2,,True,,,,,,,,,4,Peer Reviewed Homework,,,,
